Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
உருக்கு (இன்)  ,melt (tr.),கெருங்கா3ட்,क॑रङगाट,ꢒꢾꢬ꣄ꢖ꣄ꢔꢵꢜ꣄
உருகு (இன்)  ,melt (int.),கெருங்க்கெ3ய,क॑रुङक्ग॑य,ꢒꢾꢬꢸꢬ꣄ꢔꢾꢫ
உருசி (த்த்)  ,taste,ருச்சி,रुच्चि,ꢬꢸꢗ꣄ꢗꢶ
உருட்டு (இன்)  ,roll (tr.),து4ளாட்,धुळाट्,ꢤꢸꢳꢵꢜ꣄
உருவகி (த்த்)  ,figurate,ரூப்கெர்லே,रूक॑र्ले,ꢬꢹꢦ꣄ ꢒꢾꢬ꣄ꢭꢾ
உருவு (இன்)  ,take out,தூ3ஸ்,दूस्,ꢣꢹꢱ꣄
உருள் (ண்ட்)  ,roll (int.),தூ4ள்,धूल्,ꢤꢹꢭ꣄
உரை (ந்த்)  ,be rubbed (int),கெ3ஸயயொ,ग॑सयया॑,ꢔꢾꢱꢫꢫꣁ
உரை (த்த்)  ,rub (tr.),கே3ஸ்,गेस्,ꢔꢿꢱ꣄
உரை (த்த்)  ,tell,வத3யொ,वदया॑,ꢮꢣꢫꣁ
உரைசு (இன்)  ,rub (tr.),கே3ஸ்,गेस्,ꢔꢿꢱ꣄
