Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
நாடு (இன்)  ,like,ப்ரேவ் போட்,प्रेव पोट,ꢦ꣄ꢬꢿꢮ꣄ ꢦꣂꢜ꣄
நாணு (இன்)  ,feel shy,லாஜ் பொந்தி3,लाज पा॑न्दि,ꢭꢵꢙ꣄ ꢦꣁꢥ꣄ꢣꢶ
நாற்று/ நாற வை (இன்)  ,stink (tr.),க4ணாட்,घणाट,ꢕꢠꢵꢜ꣄
நாறு (இன்)  ,stink (int.),க4ணயி ஜா,घणयि जा,ꢕꢠꢫꢶ ꢙꢵ
நிகழ் (ந்த்)  ,happen,சால்,चाल,ꢗꢵꢭ꣄
நிகழ்த்து (இன்)  ,conduct,சலாட்,चलाट,ꢗꢭꢵꢜ꣄
நிச்சயி (த்த்)  ,"decide, get engaged",நிஶ்கணொ கேர்,निश्कणा॑ केर,ꢥꢶꢯ꣄ꢒꢠꣁ ꢒꢿꢬ꣄
நிதானி (த்த்)  ,be poised,ஸ்த்2ரொ பொந்தி3 கேர்,स्थ्रा॑ पा॑न्दि केर,ꢱ꣄ꢢ꣄ꢬꣁ ꢦꣁꢥ꣄ꢣꢶ ꢒꢿꢬ꣄
நிந்தி (த்த்)  ,abuse,கா3ள்டே3,गाळ्डे,ꢔꢵꢳ꣄ꢞꢿ
நிப்பாட்டு (இன்)  ,stop (tr.),ஹிப்3பா3ட்,हिब्बाट्,ꢲꢶꢨ꣄ꢨꢵꢜ꣄
நிமிட்டு (இன்)  ,pinch,சிம்டி/சுண்டி,"चिम्टि, चुण्टि","ꢗꢶꢪ꣄ꢜꢶ, ꢗꢸꢠ꣄ꢜꢶ"
நிமிர் (ந்த்)  ,become erect,நித்தொரா:,नित्ता॑ र्हा,ꢥꢶꢡ꣄ꢡꣁ ꢬꢴꢵ
நிமிர்த்து (இன்)  ,make erect,நித்தொகேர்,नित्ता॑ केर,ꢥꢶꢡ꣄ꢡꣁꢒꢿꢬ꣄
நியமி (த்த்)  ,appoint,ந்யமனொ கேர்,न्यमना॑ केर,ꢥ꣄ꢫꢪꢥꣁ ꢒꢿꢬ꣄
நிர்ணயி (த்த்)  ,determine,நிர்ணயொ கேர்,निर्णयो केर,ꢥꢶꢬ꣄ꢠꢫꣁ ꢒꢿꢬ꣄
நிர்வகி (த்த்)  ,administer,நிர்வாஹ் கேர்,निर्वाह केर,ꢥꢶꢬ꣄ꢮꢵꢲ꣄ ꢒꢿꢬ꣄
நீர் (த்த்)  ,become stale (int),விட்டயி ஜா/ பொஸ பொஸயி ஜா,"विट्टयि जा, पा॑स पा॑सयि जा","ꢮꢶꢜ꣄ꢜꢫꢶ ꢙꢵ, ꢦꣁꢱ ꢦꣁꢱꢫꢶ ꢙꢵ"
நீவு (இன்)  ,stroke,தெவ்டி3 ,त॑व्डि,ꢡꢾꢮ꣄ꢞꢶ
நீள் (ண்ட்)  ,lengthen (int.),லாம்கனி ரா:,लाम्कनि र्हा,ꢭꢵꢪ꣄ꢒꢥꢶ ꢬꢴꢵ
நீற்று (இன்)  ,Turn into ash(tr),ஜளிராக் கேர்,जळिराक केर,ꢙꢳꢷꢬꢵꢒ꣄ ꢒꢿꢬ꣄
நீறு (இன்)  ,become ash(int.),ராக் ஹொய் ஜா,राक हा॑य जा,ꢬꢵꢒ꣄ ꢲꣁꢫ꣄ ꢙꢵ
நுகர் (ந்த்)  ,"smell, enjoy",ஹுங்கி3 ஸா /அநுப4வ் கேர்/ அனுப4வி,"हुङ्गि सा, अनुभव केर, अनुभवि ","ꢲꢸꢖ꣄ꢔꢶ ꢱꢵ, ꢂꢥꢸꢩꢮ꣄ ꢒꢿꢬ꣄, ꢂꢥꢸꢩꢮꢶ"
நுணுக்கு (இன்)  ,powder,பு4ர்கொ கேர்,भुर्का॑ केर,ꢩꢸꢬ꣄ꢒꣁꢒꢿꢬ꣄
நுணுகு (இன்)  ,be minute,ஸூக்ஷ்மொகனி ரா:,सूक्षमा॑कनि र्हा,ꢱꢹꢒ꣄ꢯꢪꣁꢒꢥꢶ ꢬꢴꢵ
நுணுங்கு (இன்)  ,be powdered,பு4ர்கொ ஹொய் ஜா,भुर्का॑ हा॑य्जा,ꢩꢸꢬ꣄ꢒꣁ ꢲꣁꢫ꣄ꢙꢵ
நுரை (த்த்)  ,bubble,பு3ஸும் பு3ருடொ3 ஹோ,बुसुम बुरुडो हो,ꢨꢸꢱꢸꢪ꣄ ꢨꢸꢬꢸꢞꣁ ꢲꣂ
நுழை (ந்த்)  ,enter (int.),தூர்/ ப்ரவேஶ் கேர்,"तूर, प्रवेश केर","ꢡꢹꢬ꣄, ꢨ꣄ꢬꢮꢿꢯ꣄꣄ ꢒꢿꢬ꣄"
நுழை (த்த்)  ,enter (tr.),துராட் / ப்ரவேஶ் கெராட்,"तुराट, प्रवेश्क॑राट","ꢡꢸꢬꢵꢜ꣄, ꢦ꣄ꢬꢮꢿꢯ꣄ ꢒꢾꢬꢵꢜ꣄"
நூல் (ற்ற்)  ,Spin(tr),காத்,कात,ꢒꢵꢡ꣄
நெகிழ் (ந்த்) ,become flexible,தவயி வகு3ண்டொ ஹோ,तवयि वगुण्टा॑ हो,ꢡꢮꢫꢶ ꢮꢔꢸꢠ꣄ꢜꣁ ꢲꣂ
நெய் (த்)  ,weave,வீன்,वीन्,ꢮꢷꢥ꣄
நெரடு (இன்)  ,grope,தெவ்டி3,त॑व्डि,ꢡꢾꢮ꣄ꢞꢶ
நெரி (த்த்)  ,be strangled (int),பிஸ்கயி ஜா,पिस्कयि जा,ꢦꢶꢱ꣄ꢒꢫꢶ ꢙꢵ
நெருக்கு (இன்)  ,squeeze (tr),பிஸ்கி,पिस्कि,ꢦꢶꢱ꣄ꢒꢶ
நிரப்பு (இன்)  ,fill up (tr.),பொ4ர்வாட்,भोर्वाट,ꢩꣁꢬ꣄ꢮꢵꢜ꣄
நிரம்பு (இன்)  ,fill up (int.),பொ4ர்வயி ரா:,भा॑र्वयि र्हा,ꢩꣁꢬ꣄ꢮꢫꢶ ꢬꢴꢵ
நிராகரி (த்த்)  ,reject,தொ3ப்3பி3/ நிராகேர்/ நிராகரணொ கேர்,"दा॑ब्बि, निराकेर, निराकरणा॑ केर","ꢣꣁꢨ꣄ꢨꢶ, ꢥꢶꢬꢵꢒꢿꢬ꣄, ꢥꢶꢬꢵꢒꢬꢠꣁ ꢒꢿꢬ꣄"
நிரூபி (த்த்)  ,prove,ருஜு கேர்,रुजुकेर,ꢬꢸꢙꢸꢒꢿꢬ꣄
நில் (ந்த்)  ,Stop/halt (int.),ஹிப்3பி3,हिब्बि,ꢲꢶꢨ꣄ꢨꢶ
நிலவு (இன்)  ,prevail,ரா:,र्हा,ꢬꢴꢵ:
நிலை (த்த்)  ,be established(int.),ஸ்தாபனொ ஹொய் ரா:/ ந்ரூபணொ ஹொய் ரா:,"स्तापना॑ हा॑य र्हा, न्रूपणो हा॑य्रा","ꢱ꣄ꢡꢵꢦꢥꣁ ꢲꣁꢫ꣄ ꢬꢴꢵ, ꢥ꣄ꢬꢹꢦꢠꣁ ꢲꣁꢫ꣄ ꢬꢴꢵ"
நிறுத்து (இன்)  ,stop (tr.),ஹிப்3பா3ட்,हिब्बाट्,ꢲꢶꢨ꣄ꢨꢵꢜ꣄
நினை (த்த்)  ,think,ஹட்வி,हट्वि,ꢲꢜ꣄ꢮꢶ
நீ (த்த்)  ,leave (die),மொரி ஜா,मा॑रि जा,ꢪꣁꢬꢶ ꢙꢵ
நீக்கு (இன்)  ,remove (tr.),ஹேட்3,हेट्,ꢲꢿꢜ꣄
நீங்கு (இன்)  ,remove (int.),ஹிட்டயி ஜா,हिट्टयि जा,ꢲꢶꢜ꣄ꢜꢫꢶ ꢙꢵ
நீந்து (இன்)  ,swim,ஈதொ3கா2ள்,ईदा॑ खाळ,ꢅꢣꣁꢓꢵꢳ꣄
நீட்டு (இன்)  ,stretch,உட்சி/லம்பு3கேர்,"उड्चि, लम्बुकेर्","ꢆꢞ꣄ꢗꢶ, ꢭꢪ꣄ꢨꢸꢒꢾꢬ꣄"
நேசி (த்த்)  ,love,ப்ரேவ் கேர்,प्रेव केर,ꢦ꣄ꢬꢿꢮ꣄ ꢒꢿꢬ꣄
நேர் (ந்த்)  ,happen,ஹோ,हो,ꢲꣂ
நை (ந்த்)  ,Wear out(int.),ஜீர்ணு ஹொய் ஜா/ இத்தி ஜா,"जीर्णु हा॑य्जा, इत्ति जा","ꢙꢷꢬ꣄ꢠꢸ ꢲꣁꢫ꣄ꢙꢵ, ꢄꢡ꣄ꢡꢶ ꢙꢵ"
நொண்டு (இன்)  ,limp,வகி3ண்டிலி சால்,वगिण्टिलि चाल,ꢮꢔꢶꢠ꣄ꢞꢶꢭꢶ ꢗꢵꢭ꣄
நொறுக்கு (இன்)  ,smash (tr.),கு3த்3தி3 போ2ட்/ ஹனி போ2ட்,"गुद्दि फोट, हनि फोट","ꢔꢸꢣ꣄ꢣꢶ ꢧꣁꢜ꣄, ꢲꢥꢶ ꢧꣁꢜ꣄"
நொறுங்கு (இன்)  ,be smashed (int.),பு4ர்கொ ஹோ,भुर्को हो,ꢩꢸꢬ꣄ꢒꣁ ꢲꣂ
நோ (ந்த்)  ,pain,து3வ்னொ லாக்3,दुव्ना॑ लाग,ꢣꢸꢮ꣄ꢥꣁ ꢭꢵꢔ꣄
நோக்கு (இன்)  ,look,ஸா,सा,ꢱꢵ
நோண்டு (இன்)  ,dig,கொவ்ரி,का॑व्रि,ꢒꣁꢮ꣄ꢬꢶ
நோன் (ற்)  ,do penance,தபஸ்கேர்,तपस्केर्,ꢡꢦꢱ꣄ꢒꢾꢬ꣄
பகர் (ந்த்)  ,say,ஸங்கி3,सङ्गि,ꢱꢖ꣄ꢔꢶ
பகிஷ்கரி (த்த்)  ,Cast out (tr.),ப3ஹிஸ்கார் கேர்,बहिस्कार केर,ꢨꢲꢶꢱ꣄ꢒꢵꢬ꣄ ꢒꢿꢬ꣄
பகு (த்த்)  ,parse,பா4க்3கேர்,भाग्केर,ꢩꢵꢔ꣄ꢒꢿꢬ꣄
பகை (த்த்)  ,antoganize,விரோத்4 கேர்,विरोध्केर,ꢮꢶꢬꣁꢤ꣄ꢒꢿꢬ꣄
பசப்பு (இன்)  ,deceiving with sweet words,ப்ரேவுர் வதி3 மோஸ் கேர்/ மயால்கனி மோஸ் கேர்/ மயால் கெரி மோஸ் கேர்,"प्रेवुर वदि मोस केर, मयाल कनि मोस केर, मयाल केरि मोस केर","ꢦ꣄ꢬꢿꢮꢸꢬ꣄ ꢮꢶꢣꢶ ꢪꣂꢱ꣄ ꢒꢿꢬ꣄, ꢪꢫꢵꢭ꣄ꢒꢥꢶ ꢪꣂꢱ꣄ ꢒꢿꢬ꣄, ꢪꢫꢵꢭ꣄ ꢒꢾꢬꢶ ꢪꣂꢱ꣄ ꢒꢿꢬ꣄"
பசி (த்த்)  ,feel hungry,பூ4க்லக3யி ரா:,भूक्लगयि र्हा,ꢩꢹꢒ꣄ꢭꢔꢫꢶ ꢬꢴꢵ
படபட (த்த்)  ,flutter,த4மாதா4முர் ரா:,धमाधामुर र्हा,ꢤꢪꢵꢤꢵꢪꢸꢬ꣄ ꢬꢴꢵ
படர் (ந்த்)  ,spread,பெர்பயி ரா:,प॑र्पयि र्हा,ꢦꢾꢬ꣄ꢦꢫꢶ ꢬꢴꢵ
படி (ந்த்)  ,settle down,நிள்சயி ரா:,निल्चयि र्हा,ꢥꢶꢭ꣄ꢗꢫꢶꢬꢴꢵ
படி (த்த்)  ,"study, read",செவ்தி3,च॑व्दि,ꢗꢾꢮ꣄ꢣꢶ
படு (த்த்)  ,lie down,நிஞ்ஜி/ ஶயனொ கேர்,"निञ्जि, शयना॑केर","ꢥꢶꢛ꣄ꢙꢶ, ꢯꢫꢥꣁ ꢒꢿꢬ꣄"
படை (த்த்)  ,offer,கா4ல்,घाल्,ꢕꢵꢭ꣄
பண்ணு (இன்)  ,do,கேர்,केर्,ꢒꢾꢬ꣄
பணி (த்த்)  ,order,ஆஜ்ஞொ தே3,आज्ना॑ दे,ꢃꢙ꣄ꢛꣁ ꢣꢿ
பணி (ந்த்)  ,Obey(int.),ஆஜ்ஞொ பாலனொ கேர் / ஆஜ்ஞொ தா4னு சால்,"आज्ना॑ पालना॑ केर, आज्ना॑ धानु चाल","ꢃꢙ꣄ꢛꣁ ꢦꢵꢭꢥꣁ ꢒꢿꢬ꣄, ꢃꢙ꣄ꢛꣁ ꢤꢵꢥꢸ ꢗꢵꢭ꣄"
பதறு (இன்)  ,tremble,பெ3து3ர்,ब॑दुर्,ꢨꢾꢣꢸꢬ꣄
பதி (ந்த்)  ,record (int.),நிம்பயி ஜா/ பஞ்ஜீகரணொ ஹோ,"निम्पयि जा, पञ्जीकरणा॑ हो","ꢥꢶꢪ꣄ꢦꢫꢶ ꢙꢵ, ꢦꢛ꣄ꢙꢷꢒꢬꢠꣁ ꢲꣂ"
பதி (த்த்)  ,"record (tr.), imprint",நிம்பி/ பஞ்ஜீகரணொ கேர்,"निम्पि, पञ्जीकरणा॑ केर","ꢥꢶꢪ꣄ꢦꢶ, ꢦꢛ꣄ꢙꢷꢒꢬꢠꣁ ꢒꢿꢬ꣄"
பதுக்கு (இன்)  ,Hoard(tr),லுக்காட்,लुक्काट्,ꢭꢸꢒ꣄ꢒꢵꢜ꣄
பதுங்கு (இன்)  ,Hide (int),லுக்கிலி ரா:,लुक्किलि र्हा,ꢭꢸꢒ꣄ꢒꢶꢭꢶ ꢬꢴꢵ
பதை (த்த்)  ,Get agitated,அல்லாட்,अल्लाट,ꢂꢭ꣄ꢭꢵꢜ꣄
பம்மு (இன்) ,Talk hesitantly,பஸ்கட் கா2ட்,पस्कट खाट,ꢦꢱ꣄ꢒꢜ꣄ ꢓꢵꢜ꣄
பய (ந்த்)  ,Fear/ be afraid,த4க்கி ரா:,धक्कि र्हा,ꢤꢒ꣄ꢒꢶ ꢬꢴꢵ
பயில் (ன்ற்)  ,learn,ஸிக்கி/செவ்தி3/ஈக்3,"सिक्कि, च॑व्दि, ईग","ꢱꢶꢒ꣄ꢒꢶ, ꢗꢾꢮ꣄ꢣꢶ, ꢅꢔ꣄"
பயிற்று (இன்)  ,teach,ஸிக்காட்/ செவ்தா3ட்/ இகா3ட்,"सिक्काट, च॑व्दाट, इगाट","ꢱꢶꢒ꣄ꢒꢵꢜ꣄, ꢗꢾꢮ꣄ꢣꢵꢜ꣄, ꢄꢔꢵꢜ꣄"
பரபர (த்த்)  ,be in a hurry(int),அல்லாடு3ம் ரா:,अल्लाडुम र्हा,ꢂꢭ꣄ꢭꢵꢞꢸꢪ꣄ ꢬꢴꢵ
பராமரி (த்த்)  ,support and nourish,பாலனொ கேர்,पालना॓ केर,ꢦꢵꢭꢥꣁ ꢒꢿꢬ꣄
பறி (த்த்)  ,Seize / snatch,உக்கி / ஜெ2ல்பி,"उक्कि, झेल्पि","ꢆꢒ꣄ꢒꢶ, ꢚꢾꢭ꣄ꢦꢶ"
பரிசோதி (த்த்)  ,"test, examine",ஸோத4னொகேர்,सा॑धना॑ केर,ꢱꣂꢤꢥꣁ ꢒꢿꢬ꣄
பரிதவி (த்த்)  ,Be agitated,அல்லாட்,अल्लाट्,ꢂꢭ꣄ꢭꢵꢜ꣄
பரிபாலி (த்த்)  ,rule,பரிபாலனொ கேர்,परिपालना॑ केर,ꢦꢬꢶꢦꢵꢭꢥꣁ ꢒꢿꢬ꣄
பரிமளி (த்த்)  ,be fragrant,வஸ்னொ தே3ஸ்திஸொ ஹொ,वस्ना॑देस्तिसा॑ हा॑,ꢮꢱ꣄ꢥꣁ ꢣꢿꢱ꣄ꢡꢶ ꢱꣁ ꢲꣁ
பரிமாறு (இன்)  ,serve,ஹொட்3வி,हा॑ड्वि,ꢲꣁꢞ꣄ꢮꢶ
பரு (த்த்)  ,become stout,தெ3ள்கொபோட்,द॑ळ्का॑ पोट,ꢣꢾꢳ꣄꣄ꢒꣁ ꢦꣂꢜ꣄
பருகு (இன்)  ,drink,பே,पे,ꢨꢿ
பல்கு (இன்)  ,Increase(int),செட்வயி ரா:/ வேன் ஹோ/ ஜு2க்கு ஹோ,"च॑ट्वयि र्हा, वेन हो, झुक्कु हो","ꢗꢾꢜ꣄ꢮꢫꢶ ꢬꢴꢵ, ꢮꢿꢥ꣄ ꢲꣂ ꢚꢸꢒ꣄ꢒꢸ ꢲꣂ"
பலி (த்த்)  ,produce result(int),ப2லிஞ்சி,फलिञ्चि,ꢦꢭꢶꢛ꣄ꢗꢶ
பழக்கு (இன்)  ,tame,வட்கெகேர்,वट्क॑ केर्,ꢮꢜ꣄ꢒꢾ ꢒꢿꢬ꣄
பழகு (இன்)  ,mix with (people),பொள்கி3,पा॑ळ्गि,ꢦꣁꢳ꣄ꢔꢶ
பழி (த்த்)  ,Blame(tr),பொரொ கா4ல்/ சூக் ஸங்கி3,"पा॑रा॑ घाल, चूक सङ्गि","ꢦꣁꢬꣁ ꢕꢵꢭ꣄, ꢗꢹꢒ꣄ ꢱꢖ꣄ꢔꢶ"
பளபள (த்த்)  ,glitter,ஜொ2லிஞ்சி,झा॑लिञ्चि,ꢚꣂꢭꢶꢛ꣄ꢗꢶ
பற்று (இன்)  ,hold,தெ4ர்லே,ध॑र्ल॑,ꢤꢾꢬ꣄꣄ꢭꢾ
பற (ந்த்)  ,fly,ஹூட்3,हूड्,ꢲꢸꢞ꣄
பிறாண்டு (இன்)  ,scratch,கொவ்ரி,का॑व्रि,ꢒꣁꢮ꣄ꢬꢶ
பறி (த்த்)  ,pluck,தோட்,तोट्,ꢡꣂꢜ꣄
பறை (ந்த்)  ,proclaim,ப்ரகடனொ கேர்,प्रकटना॑ केर,ꢦ꣄ꢬꢒꢜꢥꣁ ꢒꢿꢬ꣄
பனி (த்த்)  ,"collect dew, filled with tears(int)",பனி பி3ந்து3ன் மிளயி ரா:/தொ3ளாம்பனி ஹிப்3பி3 ரா:,"पनि बिन्दुन मिळयि र्हा, दोलाम पनि हिब्बि र्हा","ꢦꢥꢶ ꢨꢶꢥ꣄ꢣꢸꢥ꣄ ꢪꢶꢳꢫꢶ ꢬꢴꢵ, ꢣꣁꢭꢵꢪ꣄ꢦꢥꢶ ꢲꢶꢨ꣄ꢨꢶ ꢬꢴꢵ"
பாடு (இன்)  ,sing,கா3வ்,गाव,ꢔꢵꢮ꣄
பாதி (த்த்)  ,Affect(tr),பா3தொ4 கேர்/ பா3தொ4 பொந்தா3ட்,"बाधा॑ केर, बाधा॑ पा॑न्दाट","ꢨꢵꢤꣁ ꢒꢿꢬ꣄, ꢨꢵꢤꣁ ꢦꣁꢥ꣄ꢣꢵꢜ꣄"
பாதுகா (த்த்)  ,protect,ரக்ஷணொ கேர்/ ரக்ஷி,"ꢬरक्षणा॑ केर, रक्षि","ꢬꢒ꣄ꢰꢠꣁ ꢒꢿꢬ꣄, ꢬꢒ꣄ꢰꢶ"
பாய் (ந்த்)  ,Flood/run in spate,ப்ரவஹி,प्रवहि,ꢦ꣄ꢬꢮꢲꢶ
பாய்ச்சு (இன்)  ,Irrigate/flush,பாஸனொ கேர்,पासना॑ केर,ꢦꢵꢱꢥꣁ ꢒꢿꢬ꣄
பார் (த்த்)  ,See/look,ஸா,सा,ꢱꢵ
பாராட்டு (இன்)  ,Praise/honour,கெ4னம் கேர்/ கௌ3ர்தொ கேர்/ ஶ்லாக4னொ கேர்,"घेनम केर, गौर्तो केर, श्लाघना॑ केर","ꢕꢾꢥꢪ꣄ ꢒꢿꢬ꣄, ꢕꣃꢬ꣄ꢡꣁ ꢒꢿꢬ꣄, ꢯ꣄ꢭꢵꢕꢥꣁ ꢒꢿꢬ꣄"
பாவி (த்த்)  ,use,வவ்ரி/உபயோக் கேர்/ நூக்3,"वव्रि, उपयोक केर, नूग","ꢮꢮ꣄ꢬꢶ, ꢆꢦꢫꣂꢒ꣄ ꢒꢿꢬ꣄, ꢥꢹꢔ꣄"
பாவு (இன்)  ,sow,கா4ல்,घाल्,ꢕꢵꢭ꣄
பிசகு (இன்)  ,Have flaw,மந்துஸெர ரா:,मन्तुस॑र र्हा,ꢪꢥ꣄ꢡꢸꢱꢾꢬ ꢬꢴꢵ
பிசுபிசு (த்த்)  ,be sticky,சிகு3ட்டகனி ரா:,चिगुट्टकनि र्हा,ꢗꢶꢔꢸꢜ꣄ꢜꢒꢥꢶ ꢬꢴꢵ
பிசை (ந்த்)  ,"squeeze, knead",குஸிர்,कुसिर,ꢒꢸꢱꢶꢬ꣄
பிடி (த்த்)  ,catch,தே4ர்,ध॑र,ꢤꢾꢬ꣄
பிடுங்கு (இன்)  ,snatch,உக்கி,उक्कि,ꢆꢒ꣄ꢒꢶ
பிணக்கு (இன்)  ,Dissent/tussle,மொன்னுபே4த் ஹோ,मा॑न्नुभेत हो,ꢪꣁꢥ꣄ꢥꢸꢩꢿꢡ꣄ ꢲꣂ
பிணி (த்த்)  ,Entangle/,மிளி ரா:/   குட்கான் செரி ரா:/ குட்கான் ஸந்த4யி ரா:,"मिलि र्हा , कुट्कान च॑रि र्हा, कुट्कान सन्धयि र्हा","ꢪꢶꢭꢶ ꢬꢴꢵ, ꢒꢸꢜ꣄ꢒꢵꢥ꣄ ꢗꢾꢬꢶ ꢬꢴꢵ, ꢒꢸꢜ꣄ꢒꢵꢥ꣄ ꢱꢥ꣄ꢤꢫꢶ ꢬꢴꢵ"
பிணை (த்த்)  ,join,குட்கான் செர்சி /குட்கான் ஸந்தி4,"कुट्कान च॑र्चि, कुट्कान सन्धि","ꢒꢸꢜ꣄ꢒꢵꢥ꣄ ꢗꢾꢬ꣄ꢗꢶ, ꢒꢸꢜ꣄ꢒꢵꢥ꣄ ꢱꢥ꣄ꢤꢶ"
பிதற்று (இன்)  ,babble /prate,கொ3ளகொ3ளயி ரா:,गा॑ळ्गा॑ळयि र्हा,ꢔꣁꢳ ꢔꣁꢳꢫꢶ ꢬꢴꢵ
பிதுக்கு (இன்)  ,Press out (tr.),பிஸ்கி,पिस्कि,ꢦꢶꢱ꣄ꢒꢶ
பிதுங்கு  ,be pressed out (int.),பிஸ்கயி ஜா,पिस्कयि जा,ꢦꢶꢱ꣄ꢒꢫꢶ ꢙꢵ
பிந்து (இன்)  ,stay behind,பஸ்கட் போட்,पस्कट पोट,ꢦꢱ꣄ꢒꢜ꣄ ꢦꣂꢜ꣄
பிய் (ந்த்)  ,be torn (int.),ப2ட்டி ரா:,फट्टि र्हा,ꢧꢜ꣄ꢜꢶ ꢬꢴꢵ
பிய் (த்த்)  ,tear (tr.),பா2ட்,फाट्,ꢧꢵꢜ꣄ꢜ
பிரகாசி (த்த்)  ,shine,ஜொ2லிஞ்சி,झा॑लिञ्चि,ꢚꣁꢭꢶꢛ꣄ꢗꢶ
பிரசவி (த்த்)  ,deliver,ஜேன்,जेन्,ꢙꢿꢥ꣄
பிரதிபலி (த்த்)  ,reflect,ப்ரதிப்ரகாஶ் கேர்,प्रतिप्ररकाश केर,ꢦ꣄ꢬꢡꢶꢦ꣄ꢬꢒꢵꢯ꣄ ꢒꢿꢬ꣄
பிரமி (த்த்)  ,Wonder(int),ஆஶ்சர்யு ஹோ,आश्चर्यु हो,ꢃꢯ꣄꣄ꢗꢬ꣄ꢫꢸ ꢲꣂ
பிரயோகி (த்த்)  ,use,வவ்ரி/ உபயோக் கேர்/ நூக்3,"वव्रि, उपयोक केर, नूग","ꢮꢮ꣄ꢬꢶ, ꢆꢦꢫꣁꢔ꣄ ꢒꢿꢬ꣄, ꢥꢹꢔ꣄"
பிரவேசி (த்த்)  ,enter,தூர்/ப்ரவேஶ் கேர்,"तूर, प्रवेश केर","ꢡꢹꢬ꣄, ꢦ꣄ꢬꢮꢿꢯ꣄ ꢒꢿꢬ꣄"
பிரி (ந்த்)  ,be separated(int),வடொ ஹொய் ரா:/ வடொ ஹோ,"वटा॑ हा॑य र्हा, वटो हो","ꢮꢜꣁ ꢲꣁꢫ꣄ꢬꢴꢵ, ꢮꢜꣁ ꢲꣂ"
பிரி (த்த்)  ,separate,வடொ கேர்/ பா4க்3 கேர்,"वटा॑ केर, भाग केर","ꢮꢜꣁ ꢒꢿꢬ꣄, ꢩꢵꢔ꣄ ꢒꢿꢬ꣄"
பிரேரி (த்த்)  ,propose,ப்ரேரனொ கேர்,प्रेरना॑ केर,ꢦ꣄ꢬꢾꢬꢥꣁ ꢒꢿꢬ꣄
பிழி (ந்த்)  ,squeeze,பீள்,पिळ्,ꢦꢶꢳ꣄
பிழை (த்த்)  ,survive,ஜிவ்லி ரா:,जिव्लि र्हा,ꢙꢶꢮ꣄ꢭꢶ ꢬꢴꢵ
பிள (ந்த்)  ,split,பா2ட் கேர்,फाट केर,ꢧꢵꢜ꣄ ꢒꢿꢬ꣄
பிளிறு (இன்)  ,trumpet,கி4ம்கார் கேர்,घिम्कार केर,ꢕꢶꢶꢪ꣄ꢒꢵꢬ꣄ ꢒꢿꢬ꣄
பிற (ந்த்)  ,take birth(int),ஊஜ்,ऊज,ꢇꢙ꣄
பிறழ் (ந்த்)  ,slip,ஸுட்டி ஜா,सुट्टि जा,ꢱꢸꢜ꣄ꢜꢶ ꢙꢵ
பீத்து (இன்)  ,praise self,ஸுயப்ரபா4வ் கா3வ்,सुयप्रभाव गाव,ꢱꢸꢫꢦ꣄ꢬꢩꢵꢮ꣄ ꢔꢵꢮ꣄
புகட்டு (இன்)  ,feed,க2வாட்/ஜெமாட்,"खवाट्, जा॑माट्","ꢓꢮꢵꢜ꣄, ꢙꣁꢪꢵꢜ꣄"
புகழ் (ந்த்)  ,praise,மெர்சி,म॑र्चि,ꢪꢾꢬ꣄ꢗꢶ
புகு (ந்த்)  ,enter,தூர்,तूर्,ꢤꢹꢬ꣄
புகுத்து (இன்)  ,thrust,துராட்,तुराट्,ꢡꢸꢬꢵꢜ꣄
புகை (ந்த்)  ,smoke (int.),து4மயி ரா:,धुमयि र्हा,ꢤꢸꢪꢫꢶ ꢬꢴꢵ
புகை (த்த்)  ,smoke (cigarette),து4மாட்,धुमाट,ꢤꢸꢪꢵꢜ꣄
புசி (த்த்)  ,eat,கா2,खा,ꢓꢵ
புடை (த்த்)  ,Thrash(tr),தெஸி போ2ட்/ ரெகி3டி3 போ2ட்,"त॑सि फा॑ट, र॑गिडि फा॑ट","ꢡꢾꢱꢶ ꢧꣁꢜ꣄, ꢬꢾꢔꢶꢞꢶ ꢧꣁꢜ꣄"
புடை (த்த்)  ,swell,பு2க்3கி3 ரா:,फुग्गि र्हा,ꢧꢸꢔ꣄ꢔꢶ ꢬꢴꢵ
புதுப்பி (த்த்)  ,renovate,புனருத்3தா4ரணொ கேர்/ நொவொ கேர்,"पुनरुद्धारणा॑ केर, ना॑वा॑ केर","ꢦꢸꢥꢬꢸꢣ꣄ ꢤꢵꢬꢥꣁ ꢒꢿꢬ꣄, ꢥꣁꢮꣁ ꢒꢿꢬ꣄"
புதை (ந்த்)  ,be buried,க3ட3யி ரா:,गडयि र्हा,ꢔꢞꢫꢶ ꢬꢴꢵ
புதை (த்த்)  ,bury,கா3ட்3,गड्,ꢔꢞ꣄
புரள் (ண்ட்)  ,roll,தூ4ள்,धूळ्,ꢤꢹꢳ꣄
புரி (ந்த்)  ,Understand(tr),அந்த3ட்3ளே/ ஜன்லே/ களயிலே,"अन्दड्ळे, जन्ले, कळयिले","ꢂꢥ꣄ꢣꢞ꣄ꢳꢿ, ꢙꢥ꣄ꢭꢿ, ꢒꢳꢫꢶꢭꢿ"
