ꢂꢠ꣄ꢗꢸ ꢮꢔꢡꢶ,अण्चुव गति,அண்சுவ க3தி,suppression,அடக்குமுறை  
ꢠꢶꢬ꣄ꢠꢫꣁ,निर्णया॑,நிர்ணயொ,judgement,தீர்ப்பு  
ꢄꢔ꣄ꢬꢮꢵꢡꢶ ,उग्रवाति,உக்3ரவாதி3,extremist,தீவிரவாதி  
ꢭꢸꢒ꣄ ꢙꢥ꣄ꢥꢬ꣄,लुक्जन्नर,லுக் ஜன்னார்,detective,துப்பறிபவர்  
ꢱꢹꢗꢥꣁ,सूचना॑,ஸூசனொ,clue,துப்பு  
ꢜꢸꢦ꣄ꢦꢸ,तुप्पु,துப்பு,clue,துப்பு  
ꢣꣂꢬꢸ ꢣꢠ꣄ꢞꢵꢥꣁ,दोरु दण्डना॑,தோ3ரு த3ண்ட3னொ,hanging punishment,தூக்குத்தண்டனை   
ꢲꣁꢬꢸꢒ꣄ꢬꢶꢫꣁ,होरुक्रिया॑,ஹோரு க்ரியொ,action,நடவடிக்கை  
ꢱꢹꢗꢵꢭ꣄,सूचाल,ஸுசால்,good conduct,நன்னடத்தை  
ꢗꣁꢒ꣄ ꢗꢭ꣄ꢥꢶ,चा॑क चल्नि,சொக் சல்னி,good conduct,நன்னடத்தை  
ꢱꢡ꣄ ꢗꢭ꣄ꢥꢶ,सत चल्नि,ஸத் சல்னி,good conduct,நன்னடத்தை  
ꢥꢶꢮꢵꢬꢠꣁ,निवारणा॑, நிவாரணொ,compensation,நஷ்ட ஈடு   
ꢥꢶꢫꢵꢮ꣄,नियाव्,நியாவ்,justice,நீதி  
ꢥꢷꢡꢶꢦꢡꢶ,नीतिपति,நீதிபதி,judge,நீதிபதி  
ꢥꢶꢫꢵꢫꢱ꣄ꢢꢭꣁ,नियायस्थला॑,நியாயஸ்த2லொ,court,நீதிமன்றம்  
ꢮꢶꢬꣂꢣ,विरोद,விரோத்4,enmity,பகை  
ꢒꢸꢣꣁ,कुदा॑,குதொ3,pawn,பணயம்  
ꢩꣁꢔꢸꢪꢵꢥ꣄,भा॑गुमान,பொ4கு3மான்,prize,பரிசு  
ꢦꢵꢬꢶꢡꣂꢱꢶꢒꣁ,पारितोसिका॑,பாரிதோஸிகொ,prize,பரிசு  
ꢦ꣄ꢬꢡꢶꢒꢹꢭ꣄,प्रतिकूल,ப்ரதிகூல்,adverse effect,பாதகம்  
ꢬꢒ꣄ꢯꢥꣁ,रक्षणा॑,ரக்ஷணொ,"protection, defence",பாதுகாப்பு  
ꢦꢶꢬꢡꢶꢮꢵꢣꢶ,पिरतिवादि,பிரதிவாதி3,defendent,பிரதிவாதி  
ꢱꢡ꣄ꢫꢦ꣄ꢬꢪꢵꢠ꣄,सत्य प्रमाण्,ஸத்ய ப்ரமாண்,oath,பிரமாணம்  
ꢦꢶꢬꢪꢵꢠ꣄,पिरमाण्,பிரமாண்,oath,பிரமாணம்  
ꢒꢸꢠ꣄ꢜꢸ,कुण्टु,குண்டு,error,பிழை  
ꢪꢥ꣄ꢡꢸ,मन्तु,மந்து,error,பிழை  
ꢒ꣄ꢬꢵꢥ꣄ꢡꢶ,क्रान्ति,க்ராந்தி,revolution,புரட்சி  
ꢒꢭꢲ ꢱ꣄ꢢꢶꢡꢶ,कलह स्थिति,கலஹ ஸ்தி2தி,"agitation, struggle",போராட்டம்  
ꢥꢒꢭ꣄,नकल,நகல்,duplicate,போலி  
ꢪꣁꢬꢥꢸ ꢣꢠ꣄ꢞꢠꣁ,मा॑रनु दण्डणो,மொரனு த3ண்ட3ணொ,death sentence,மரணதண்டனை  
ꢦꣀꢭ ꢏꢫ꣄ꢣꢦꢥ꣄,फैल आ॑य्दपन,பை2ல ஒய்த3பன்,first aid,முதலுதவி  
ꢪꣁꢬꢜꢸ,मा॑रटु,மொரடு3,rowdy,முரடன்  
ꢤꢶꢒ꣄ꢒꢶꢥꢶ,धिक्किनि,தி4க்கினி,clash,மோதல்  
ꢮꢵꢣꢸꢒꢾꢬ꣄ꢥꢵꢬ꣄,वादु क॑र्नार,வாது3 கெர்னார்,advocate,வக்கீல் /வழக்குரைஞர்
ꢮꢵꢣꢸꢥꢵꢬ꣄,वादुनार,வாது3னார்,advocate,வக்கீல் /வழக்குரைஞர்
ꢣꢵꢮꣁ,दावा॑,தா3வொ,case,வழக்கு  
ꢮꢣꢶꢔ꣄ꢛꢵꢥꢶ,विदिगञानि,விதி3க்3ஞானி,advocate,வழக்கறிஞர்
ꢮꢒ꣄ꢒꢷꢭ꣄,वक्कील,வக்கீல்,advocate,வழக்கறிஞர்
ꢆꢔ꣄ꢬ ꢒ꣄ꢬꢶꢫꣁ,उग्र क्रिया॑,உக்3ர க்ரியொ,violence,வன்முறை  
ꢣꣂꢠꢸ ꢮꢵꢒ꣄,दा॑णु वाक,தோணு வாக்,statement,வாக்குமூலம்  
ꢃꢣꢵꢬꢸ ꢮꢵꢗꢸ,आदारुवाचु,ஆதா3ரு வாசு,statement,வாக்குமூலம்  
ꢮꢶꢮꢵꢣ꣄,विवाद,விவாத்3,argument,வழக்காடுதல்/ வாதம்  
ꢮꢵꢣꢶ,वादि,வாதி3,plaintiff,வாதி  
ꢧꢶꢬ꣄ꢮ ꢓꢳ꣄ꢳꢱ꣄ꢡꢾ,फिरिवि खल्लस्ते,பி2ர்வி கள்ளஸ்தே,withdrawal,வாபஸ்  
ꢮꢵꢦꢱ꣄ ꢓꢳ꣄ꢳꢱ꣄ꢡꢾ,वापस खल्लस्ते,வாபஸ் க2ள்ளஸ்தே,withdrawal,வாபஸ்  
ꢒꣀꢣꢸ ꢦꢡ꣄ꢬꣁ,कैदु पत्रा॑,கைது3 பத்ரொ,warrant,வாரண்டு  
ꢮꢶꢗꢵꢬꢠꣁ,विचारणा॑,விசாரணொ,enquiry,விசாரணை / விசாரிப்பு  
ꢩꢬꢵꢜ ꣄ꢱꣁꢞ꣄ꢥꢶ,भराट् सा॑ड्नि,ப4ராட்ஸொட்3னி,release,விடுதலை  
ꢥꢶꢫꢪꣁ,नियमा॑,நியமொ,rule,விதி  
ꢮꢶꢦꢡ꣄ꢡꢸ,विपत्तु,விப3த்து,accident,விபத்து  
ꢮꢶꢬꣂꢤ꣄,विरोध्,விரோத்4,enmity,விரோதம்  
ꢒꢸꢠ꣄ꢞꢸ,कुण्डु,குண்டு3,bomb,வெடிகுண்டு
ꢨꢥ꣄ꢤ꣄,बन्ध,ப3ந்த்4,strike,வேலைநிறுத்தம்
ꢙꢪꢷꢥ꣄,जमीन,ஜமீன்,bail,ஜாமீன்  
