Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢮꢿꢥ꣄ ꢒꢿꢬ꣄,वेनकेर,வேன்கேர்,ven ker,ven ker,ven ker,ʋeːn̪ keːɾ,increase,அதிகரி (த்த்)  
ꢃꢗ꣄ꢗꢬ꣄ꢫꢸꢦꣂꢜ꣄,आच्चयुपोट्,ஆஶ்சர்யுபோட்,aachcharyupot',AccaryupoT,āccaryupoṭ,ɑːt͡ʃt͡ʃəɾjupoːʈ,wonder,அதிசயி (த்த்)  
ꢂꢣꢶꢬ꣄,अदिर,அதி3ர்,adir,adir,adir,əd̪ɪɾ,tremble,அதிர் (ந்த்)  
ꢂꢦ꣄ꢦꢶꢭꢾ,अप्पिले,அப்பிலே,appile',appilE,appilĕ,əppɪle,apply like a paste,அப்பு (இன்)  
ꢚꢾꢜ꣄ꢦꢶꢭꢾ,झेट्पिले,ஜெ2ட்பிலே,jhe't'pile',jhETpilE,jhĕṭpilĕ,d͡ʒʰeʈpɪle,steal,அபகரி (த்த்)  
ꢱꣃꢔꢭ ꢒꢿꢬ꣄,सैगनकेर,ஸைக3னகேர்,saugala ker,saugala ker,saugala ker,s̪əugələ keːɾ,gesticulate,அபிநயி (த்த்)  
ꢨꢷꢱ꣄,बीस्,பீ3ஸ்,bees,bIs,bīs,biːs̪,sit,அமர் (ந்த்)  
ꢨꢹꢜ꣄,बूट,பூ3ட்,boot',bUT,būṭ,buːʈ,be immersed,அமிழ் (ந்த்)  
ꢨꢸꢣꢵꢜ꣄,बुडाट्,பு3டா3ட்,budaat',budAT,budāṭ,bud̪ɑːʈ,immerse,அமிழ்த்து (இன்)  
ꢂꢪ꣄ꢒꢶ,अम्कि,அம்கி,amki,amki,amki,əmkɪ,press,அமுக்கு (இன்)  
ꢂꢪ꣄ꢒꢫꢶ ꢬꢴꢵ,अम्कयिर्ह,அம்கயிரா:,amkayi rhaa,amkayi rhA,amkayi rhā,əmkəjɪ ɾɦɑː,be pressed,அமுங்கு (இன்)  
ꢱꢾꢥ꣄ꢡꢶ ꢢꣂꢮ꣄,स॑न्तिथोव्,ஸெந்திதோ2வ்,se'nti thov,sEnti thov,sĕnti thov,s̪en̪t̪ɪ t̪ʰoːʋ,be arranged,அமை (ந்த்)  
ꢱꢾꢥ꣄ꢡꢫꢶꢬꢴꢵ,स॑न्तयिर्ह,ஸெந்தயிரா:,se'ntayirhaa,sEntayirhA,sĕntayirhā,s̪en̪t̪əjɪɾɦɑː,arranged,அமை (த்த்)  
ꢲꢹꢖ꣄ꢔꢶꢤꢹꢭ꣄,हुङगिधूल्,ஹுங்கி3தூ4ள்,hoongidhool,hUGgidhUl,hūṅgidhūl,ɦuːŋgɪd̪ʰuːl,become drowsy,அயர் (ந்த்)  
ꢓꢮ꣄ꢙꢸꢭꢾ,खव्जुले,க2வ்ஜுலே,khavjule',khavjulE,khavjulĕ,kʰəʋd͡ʒule,"itch, sieve",அரி (த்த்)  
ꢤꢵꢒ꣄ꢕꢵꢭ꣄,धाक्घाल,தா4க்கா4ல்,dhaakghaal,dhAkghAl,dhākghāl,d̪ʰɑːkgʰɑːl,frighten,அரட்டு (இன்)  
ꢨꢾꢣꢸꢬꢶ ꢦꣂꢜ꣄,ब॑दुरिपोट्,பெ3து3ரிபோட்,be'duri pot',bEduri poT,bĕduri poṭ,bed̪uɾɪ poːʈ,to be much afraid,அரள் (ண்ட்)  
ꢣꢸꢒ꣄ꢒꢸꢦꣁꢞ꣄ꢳꢾ,दुक्कुपोड्ळ॑,து3க்குபொட்3ளே,dukkupo'd'l'e',dukkupODLE,dukkupŏḍl̤ĕ,d̪ukkupoɖɭe,lament,அரற்று (இன்)  
ꢦ꣄ꢬꢵꢬ꣄ꢡꢥꣁꢒꢾꢬ꣄,प्रार्तना॑केर,ப்ரார்தனொகேர்,praartano'ke'r,prArtanOkEr,prārtanŏkĕr,pɾɑːɾt̪ən̪okeɾ,pray,அர்ச்சி (த்த்)  
ꢦꢿ,पे,பே,pe,pe,pe,peː,drink,அருந்து (இன்)  
